Subject_ID,probe,Block1 (S1),Filter Used for Block 1 (S1),Block2 (S1),Filter Used for Block 2 (S1),Block1 (S2),Filter Used for Block 1 (S2),Block2 (S2),Filter Used for Block 2 (S2),Block1 (S3),Filter Used for Block 1 (S3),Block2 (S3),Filter Used for Block 2 (S3)
NC304,CCHUNB6A,1084.0,0.5good for AB,2103.0,0.5good for AB,1084.0,0.3,2103,0.3,,,,
NC310,CCHUNB6A,1084.0,0.3,2103.0,0.3,1084.0,0.5,2103,0.5,,,,
NC335,CCHUNB6A,1084.0,"0.5Good for ABC, 0.3GOOD FOR D",2103.0,"0.5Good for AB, 0.3GOOD FOR CD",1084.0,0.4,2103,0.4 nd,,,,
NC336,CCHUNB6A,1084.0,0.3,2103.0,0.3,1084.0,0.4,2103,0.4,,,,
NC350,CCHUNB6A,1084.0,0.3,2103.0,0.4,1084.0,0.6,2103,0.7,,,,
NC394,CCHUNB6A,1084.0,0.5,2103.0,0.6; 0.5,1084.0,0.6,2103,0.6,,,,
NE001,CCHUNB1,1084.0,"1.0 Good for A, 0.7 Good for B, 0.2 Good for C & D",2103.0,"0.8 Good for A, 0.6 Good for B, 0.2 Good for C & D",1084.0,0.3,2103,0.4,,,,
NE001,CCHUNB1,1084.0,"0.8 Good for A & B, 0.3 Good for C & D",2103.0,"0.8 Good for A & B, 0.3 Good for C & D",1084.0,0.5,2103.0,0.6,,,,
NE001,CCHUNB1,1084.0,,2101.0,"1.1 good for A & B detectors, 0.8 good for C & D detectors",1084.0,0.4,2102.0,0.7,,,,
NE001,CCHUNB1,1084.0,0.5 good for A & B detectors,2101.0,0.8 good for C & D detectors,1084.0,0.4,2103.0,0.4,,,,
NE001,CCHUNB1,2102.0,"0.8 Good for A & B, 0.3 Good for C & D",,,1084.0,0.1,2102.0,0.3,,,,
NE001,CCHUNB1,2101.0,"1.0 Good for A & B, 0.9 Good for C & D",,,1084.0,0.4,,,,,,
NE001,CCHUNB1,2101.0,"0.8 Good for C & D, 1.2 Good for A & B",,,1084.0,0.3,2103.0,0.3,,,,
NE001,CCHUNB1,1084.0,,2101.0,See notes,1084.0,0.3,2101,see notes,,,,
NE001,CCHUNB1,2101.0,"0.9 Good for C & D, 1.1 Good for A & B",,,1084.0,0.3,2102.0,0.8,,,,
NE002,CCHUNB3,1084.0,0.3,2103.0,0.4,1084.0,0.6,2103,0.7,,,,
NE002,CCHUNB1,1084.0,0.3,2102.0,0.7,1084.0,0.8,2103.0,"0.5 Good for A, B, and C; 0.8 Good for D",,,,
NE002,CCHUNB1,1084.0,0.2,2102.0,0.5,1084.0,0.8,2103.0,07,,,,
NE002,CCHUNB1,1084.0,0.6,2103.0,0.6,1084.0,0.5,2103.0,0.4,,,,
NE002,CCHUNB1,1084.0,0.3,2102.0,0.7,1084.0,0.1,2102.0,0.3,,,,
NE002,CCHUNB1,1084.0,0.2,2102.0,0.5,1084.0,0.2,2102.0,0.5,,,,
NE002,CCHUNB1,1084.0,0.3,2102.0,0.7,1084.0,0.2,2102.0,0.6,,,,
NE002,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.3,2102.0,0.7,,,,
NE004,CCHUNB1,1084.0,0.5,2103.0,0.6,1084.0,0.5,2103,0.6,,,,
NE004,CCHUNB1,1084.0,0.3,2102.0,0.8,1084.0,0.7,2103.0,0.7,,,,
NE004,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.3,2102,0.6,,,,
NE004,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.3,2102,0.7,,,,
NE005,CCHUNB6A,1084.0,0.6,2103.0,0.8,1084.0,0.8,2103,0.9; 0.8,,,,
NE005,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.5,2103,0.5,,,,
NE005,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.6,2103.0,0.6,,,,
NE005,CCHUNB1,1084.0,0.5,2103.0,0.6,1084.0,1.0,2103.0,1.0,,,,
NE005,CCHUNB1,1084.0,0.2,2102.0,0.3,1084.0,0.2,2102.0,0.4,,,,
NE005,CCHUNB1,1084.0,0.2,2102.0,0.3,1084.0,0.3,2102.0,0.5,,,,
NE005,CCHUNB1,1084.0,0.2,2102.0,0.3,1084.0,0.2,2102.0,0.6,,,,
NE006,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.3,2103.0,0.4,,,,
NE006,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.5,2103.0,0.5,,,,
NE006,CCHUNB1,2102.0,0.5,2101.0,0.9,1084.0,0.4,2102.0,0.8,1084,0.5,2102.0,0.9
NE007,CCHUNB6A,1084.0,0.5,2103.0,0.5,1084.0,0.4,2103,0.3,,,,
NE007,CCHUNB1,1084.0,0.3,2102.0,0.7,1084.0,0.6,2103.0,0.7,,,,
NE007,CCHUNB1,1084.0,0.2,2102.0,0.5,1084.0,0.4,2102,0.8,,,,
NE007,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.5,2103.0,0.6,,,,
NE007,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.5,2103.0,0.6,,,,
NE007,CCHUNB1,1084.0,0.4,2101.0,1.1,1084.0,0.6,2103.0,0.7,,,,
NE009,CCHUNB1,1084.0,0.5,2103.0,0.7,1084.0,1.0,2103,"1.0 Good for A & B, 1.1 Good for C, 0.9 Good for D",,,,
NE009,CCHUNB1,1084.0,0.5,2102.0,"0.9 Good for A, B & C, 0.7 Good for D",1084.0,0.5,2103.0,0.5,,,,
NE011,CCHUNB3,1084.0,0.5,2103.0,"0.6 Good for A & B, 0.7 Good for C & D",1084.0,0.3,2103,0.3,,,,
NE011,CCHUNB1,1084.0,0.3,2103.0,0.4,1084.0,0.6,2103.0,"0.6 Good for A, B and C, No Filter Good for D",,,,
NE012,CCHUNB1,1084.0,0.2,2102.0,0.4,1084.0,0.8,,,,,,
NE012,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.2,2102,0.4,,,,
NE013,CCHUNB3,1084.0,0.5,2103.0,0.6,1084.0,0.3,2103,0.3,,,,
NE013,CCHUNB1,1084.0,0.5,2102.0,0.8,1084.0,0.9,2102,"0.9 Good for A, B & C, 1.4 Good for D",,,,
NE015,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.4,2102,0.8,,,,
NE015,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.3,2103.0,0.5,,,,
NE016,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.3,2102,0.7,,,,
NE016,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.3,2103.0,0.5,,,,
NE017,CCHUNB1,1084.0,0.3,2102.0,0.7,1084.0,0.3,2103.0,0.5,,,,
NE017,CCHUNB1,1084.0,0.5,2103.0,0.5,1084.0,0.3,2103.0,0.3,,,,
NE017,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.6,2101,"1.1 good for D detector, 1.2 good for A, B and C detectors",,,,
NE017,CCHUNB1,1084.0,0.4 good for A & B detectors,2102.0,0.4 good for C & D detectors,1084.0,0.4,2102,0.8,,,,
NE018,CCHUNB1,1084.0,0.4,2102.0,0.7,1084.0,0.4,2103.0,0.5,,,,
NE018,CCHUNB1,1084.0,0.2,2102.0,0.4,1084.0,0.2,2102,0.6,,,,
NE020,CCHUNB1,1084.0,0.1,2102.0,0.4,1084.0,0.2,2102,0.5,,,,
NE021,CCHUNB1,1084.0,0.1,2102.0,0.3,1084.0,0.5,2102,0.9,,,,
NE022,CCHUNB3,1084.0,0.2,2103.0,0.2,1084.0,0.5,2103,0.5,,,,
NE022,CCHUNB1,1084.0,0.8,2103.0,"0.7 Good for A & B, 0.8 Good for C & D",1084.0,0.3,2102.0,0.6,,,,
NE022,CCHUNB1,1084.0,,2101.0,See notes,1084.0,0.3,2101.0,0.6,,,,
NE022,CCHUNB1,1084.0,0.2,2102.0,0.4,1084.0,0.4,2102,0.6,,,,
NE025,CCHUNB3,1084.0,0.5,2103.0,0.5,1084.0,0.3,2103,0.4,,,,
NE025,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.3,2103,0.3,1084,0.4,2103,0.4
NE025,CCHUNB1,1084.0,0.4,2102.0,0.7,1084.0,0.4,2103.0,0.5,,,,
NE025,CCHUNB1,1084.0,0.2,2102.0,0.5,1084.0,0.5,2103.0,0.7,,,,
NE026,CCHUNB1,1084.0,0.2,2103.0,0.2,1084.0,0.1,2103,0.1,,,,
NE027,CCHUNB1,1084.0,0.7,2103.0,0.7,1084.0,0.4,2103,"0.9 Good for A & B, 0.4 Good for C & D",,,,
NE028,CCHUNB6A,1084.0,0.5,2103.0,0.5,1084.0,0.5,2103,0.5,,,,
NE028,CCHUNB3,1084.0,0.3,2103.0,0.3,1084.0,0.5,2103,0.5,,,,
NE028,CCHUNB1,1084.0,0.4,2103.0,0.4,1084.0,0.5,2103,0.6,,,,
NE028,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.5,2103,0.5,1084,0.6,2103,0.7
NE028,CCHUNB1,1084.0,0.4,2102.0,0.7,1084.0,0.4,2102,,1084,0.5,2102,
NE028,CCHUNB1,1084.0,0.5,2102.0,0.8,1084.0,0.2,2102,0.5,,,,
NE029,CCHUNB1,1084.0,0.3,2103.0,0.5,1084.0,0.3,2103.0,0.5,,,,
NE030,CCHUNB3,1084.0,0.5,2103.0,0.6,1084.0,0.4,2103,0.4,,,,
NE030,CCHUNB1,1084.0,0.2,2103.0,0.2,1084.0,0.2,2103,0.2,,,,
NE030,CCHUNB1,1084.0,0.3,2103.0,0.5,1084.0,0.3,2103.0,0.5,,,,
NE030,CCHUNB1,1084.0,0.5,2103.0,0.6,1084.0,0.6,2103.0,"0.6 Good for A, 0.8 Good for B, C, and D",,,,
NE030,CCHUNB1,1084.0,0.3,2102.0,0.7,1084.0,0.5,2103.0,0.7,,,,
NE030,CCHUNB1,1084.0,0.4,2102.0,0.8,1084.0,0.5,,,,,,
NE031,CCHUNB1,1084.0,0.2,2102.0,0.4 ,1084.0,0.2,2102,0.6,,,,
NE031,CCHUNB1,1084.0,0.2,2102.0,0.5,1084.0,0.3,2102.0,0.5,,,,
NE032,CCHUNB2,1084.0,0.6,2103.0,0.7,1084.0,0.5,2103,0.6,,,,
NE032,CCHUNB1,1084.0,0.4,2103.0,0.4,1084.0,0.5,2103,0.5,,,,
NE032,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.5,2102,0.9,,,,
NE032,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.5,2103.0,0.5,,,,
NE032,CCHUNB1,1084.0,0.2,2102.0,0.5,1084.0,0.3,2102,0.8,,,,
NE034,CCHUNB1,1084.0,0.5,2102.0,0.7,1084.0,0.5,2103.0,0.6,,,,
NE035,CCHUNB1,1084.0,0.5,2103.0,0.5,1084.0,0.7,2103,0.7,,,,
NE035,CCHUNB1,1084.0,0.5 ,2103.0,0.5,1084.0,0.5,2103.0,0.6,,,,
NE035,CCHUNB1,1084.0,"0.2, Good for C and D & 0.7, Good for A and B",2103.0,"0.6 Good for A and B, 0.3 Good for C and D",1084.0,0.5,2102,0.9,,,,
NE036,CCHUNB3,1084.0,0.5,2103.0,"0.5 Good for A, B & C, 0.3 Good for D",1084.0,0.5,2103,0.5,,,,
NE036,CCHUNB1,1084.0,,2103.0,,1084.0,0.7,2103,"0.7 Good for A, B & C, 0.6 Good for D",1084,0.8,2103,"0.9 Good for A & B, 1.0 Good for C & D"
NE036,CCHUNB1,1084.0,0.5,2103.0,"0.6 Good for A, B & C, 0.3 Good for D",1084.0,0.8,2103,0.8,,,,
NE036,CCHUNB1,1084.0,0.4 ,2102.0,0.8,1084.0,0.5,2103.0,0.7,,,,
NE036,CCHUNB1,1084.0,0.5,2102.0,0.9,1084.0,0.5,2103.0,0.6,,,,
NE036,CCHUNB1,1084.0,0.4,2102.0,0.7,1084.0,0.4,2103.0,0.7,,,,
NE037,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.3,2103,0.3,,,,
NE037,CCHUNB1,1084.0,0.4,2102.0,0.7,1084.0,0.5,2102,0.8,,,,
NE037,CCHUNB1,1084.0,"0.5 Good for A, B, and C, 0.2 Good for C and D",2102.0,"0.8 Good for A and B, 0.5 Good for C and D",1084.0,0.3,2102,0.6,,,,
NE037,CCHUNB1,1084.0,"0.5 Good  for A,B and C, 0.1 Good for C and D",2102.0,"0.4 Good for C and D, 0.8 Good for A and B",1084.0,0.2,2102,0.5,,,,
NE038,CCHUNB1,1084.0,0.2,2103.0,0.2,1084.0,0.1,2103,0.1,,,,
NE039,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.5,2103,0.5,,,,
NE040,CCHUNB2,1084.0,0.5,2103.0,0.6,1084.0,0.6,2103,0.6,,,,
NE040,CCHUNB1,1084.0,0.5,2103.0,0.5,1084.0,0.9,2103,"0.8 Good for A, 1.1 Good for B, C & D",,,,
NE040,CCHUNB1,2102.0,0.6,2101.0,1.0,1084.0,0.3,2102.0,0.8,,,,
NE040,CCHUNB1,1084.0,"0.1 Good for C and D, 0.4 Good for A, B and C",2102.0,0.6,1084.0,0.5,2102,0.9,,,,
NE041,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.5,2103.0,0.5,,,,
NE041,CCHUNB1,1084.0,0.3,2102.0,0.7,1084.0,0.5,2103.0,0.5,,,,
NE042,CCHUNB3,1084.0,0.4,2103.0,0.5,1084.0,0.6,2103,0.7,,,,
NE042,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.5,2103,0.6,1084,"0.5 Good for A, 0.7 Good for B, C & D",2103,"0.5 Good for A, 0.8 Good for B & C, 1.0 Good for D"
NE042,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.5,2103.0,0.5,,,,
NE043,CCHUNB3,1084.0,0.2,2103.0,0.3,1084.0,0.3,2103,0.3,,,,
NE043,CCHUNB1,1084.0,0.3 ,2103.0,0.3,1084.0,0.4,2103,0.4,,,,
NE043,CCHUNB1,1084.0,"0.3 Good for A, B, and C, No Filter Good for C and D",2102.0,0.5,1084.0,0.3,2102,0.6,,,,
NE049,CCHUNB1,1084.0,0.3,2103.0,0.4,1084.0,0.5,2103,0.5,,,,
NE049,CCHUNB1,1084.0,0.5,2102.0,0.8,1084.0,0.7,2103.0,0.8,,,,
NE049,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.2,2102,0.5 nd (Good for C and D) 0.8 Good for A and B,,,,
NE050,CCHUNB1,1084.0,0.3,2102.0,0.5,1084.0,0.3,2103.0,0.4,,,,
NE050,CCHUNB1,1084.0,0.2,2102.0,0.4,1084.0,0.2,2102,0.5,,,,
NE052,CCHUNB3,1084.0,0.8,2103.0,0.8,1084.0,0.9,2103,"0.8 Good for A & D, 1.0 Good for B & C",,,,
NE052,CCHUNB1,1084.0,0.5,2103.0,0.7,1084.0,0.3,2102,0.6,,,,
NE054,CCHUNB1,1084.0,0.5,2103.0,0.6,1084.0,0.8,2103,0.8,,,,
NE056,CCHUNB1,1084.0,0.5,2103.0,0.6,1084.0,0.7,2103,0.8,,,,
NE057,CCHUNB1,1084.0,0.2,2103.0,0.2,1084.0,0.4,2103,0.4,,,,
NE057,CCHUNB1,1084.0,0.1,2102.0,0.3,1084.0,0.3,2102,0.5,,,,
NE059,CCHUNB1,1084.0,0.2,2102.0,0.5,1084.0,0.5,2101,0.6,,,,
NE060,CCHUNB6A,1084.0,0.5,2103.0,0.6,1084.0,0.7,2103,0.7,,,,
NE060,CCHUNB2,1084.0,0.4,2103.0,0.4,1084.0,0.6,2103,0.6,,,,
NE061,CCHUNB1,1084.0,0.3,2102.0,0.7,1084.0,0.2,2102,0.3,,,,
NE063,CCHUNB1,1084.0,0.2,2103.0,0.2,1084.0,0.3,2103,0.3,,,,
NE063,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.5,2103,0.6,,,,
NE063,CCHUNB1,2102.0,0.3,2101.0,0.7,1084.0,0.8,2103.0,"0.6 Good for A & B, 0.8 Good for C & D",,,,
NE063,CCHUNB1,1084.0,"0.3 Good for A & B, No Filter Good for C & D",2103.0,"0.3 Good for A & B, No Filter Good for C & D",1084.0,0.5,2103,0.5,,,,
NE063,CCHUNB1,2101.0,0.5,2102.0,0.3,1084.0,0.3,2103.0,0.4,,,,
NE063,CCHUNB1,1084.0,0.4,2103.0,0.4,1084.0,0.7,2103,"0.9 Good for A & B, 0.6 Good for C & D",,,,
NE067,CCHUNB1,1084.0,0.1,2102.0,0.3,1084.0,0.3,2102,0.7,,,,
NE068,CCHUNB1,1084.0,0.3,2102.0,0.6,1084.0,0.4,2103.0,0.5,,,,
NE071,CCHUNB1,1084.0,0.5,2101.0,0.9,1084.0,0.8,2103.0,0.8,,,,
NE071,CCHUNB1,1084.0,0.4,2102.0,0.7,1084.0,0.5,2103.0,0.7,,,,
NE071,CCHUNB1,1084.0,0.4,2103.0,0.5,1084.0,0.6,2103.0,"0.6 Good for A & B, 0.8 Good for C & D",,,,
NE073,CCHUNB2,1084.0,0.7,2103.0,"0.8 Good for A,B & C, 0.5 Good for D",1084.0,0.8,2103,0.8,,,,
NE073,CCHUNB1,1084.0,0.5,2103.0,0.6,1084.0,0.5,2103,0.6,,,,
NE073,CCHUNB1,1084.0,"0.6 Good for A, B & C, 0.3 Good for D",2103.0,"0.7 Good for A, B & C, 0.3 Good for D",1084.0,0.5,2103,0.6,,,,
NE073,CCHUNB1,1084.0,0.7,2103.0,0.7,1084.0,0.7,2103,"0.7 Good for A, B & C; 0.8 Good for D",,,,
NE073,CCHUNB1,1084.0,0.3,2102.0,0.7,1084.0,0.8,2103.0,"0.6 Good for A & D, 0.9 Good for B & C",,,,
NE073,CCHUNB1,1084.0,"1.0 Good for A & B, 0.3 Good for C & D",2103.0,"0.9 Good for A & B, 0.4 Good for C & D",1084.0,0.8,2103.0,"0.9 Good for A, B & C, 0.7 Good for D",,,,
NE073,CCHUNB1,1084.0,0.8,2103.0,0.8,1084.0,0.8,2103.0,0.8,1084,0.6,2103.0,"0.8 Good for A, B, & C, 0.5 Good for D"
NE073,CCHUNB1,1084.0,0.6,2103.0,0.6,1084.0,0.6,2103.0,"0.9 Good for A & B, 0.6 Good for C, 0.5 Good for D",,,,
NE075,CCHUNB6A,1084.0,0.5,2103.0,0.5,1084.0,0.5,2103,0.5,,,,
NE075,CCHUNB1,1084.0,0.1,2102.0,0.3,1084.0,0.5,2102,0.7,,,,
NE075,CCHUNB1,1084.0,0.4,2102.0,0.6,1084.0,0.5,2103.0,0.5,1084,,2102,
NE075,CCHUNB1,1084.0,0.5,2102.0,0.7,1084.0,0.9,2103.0,1.0,1084,0.3,2102,0.5
NE076,CCHUNB6A,1084.0,0.5,2103.0,0.5,1084.0,0.7,2103,0.7,,,,
