Subject_ID,probe,Block1 (S1),Filter Used for Block 1 (S1),Block2 (S1),Filter Used for Block 2 (S1),Block1 (S2),Filter Used for Block 1 (S2),Block2 (S2),Filter Used for Block 2 (S2),Block1 (S3),Filter Used for Block 1 (S3),Block2 (S3),Filter Used for Block 2 (S3)
NE025,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.3,2103.0,0.3,1084.0,0.4,2103.0,0.4
NE028,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.5,2103.0,0.5,1084.0,0.6,2103.0,0.7
NE036,CCHUNB1,1084.0,,2103.0,,1084.0,0.7,2103.0,"0.7 Good for A, B & C, 0.6 Good for D",1084.0,0.8,2103.0,1.0
NE042,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.5,2103.0,0.6,1084.0,"0.5 Good for A, 0.7 Good for B, C & D",2103.0,1.0
NE073,CCHUNB1,1084.0,0.8,2103.0,0.8,1084.0,0.8,2103.0,0.8,1084.0,0.6,2103.0,0.5
NE080,CCHUNB1,1084.0,0.5,2103.0,0.6,1084.0,1.0,2103.0,"0.9 Good for A & D, 1.1 Good for B & C",1084.0,0.8,2103.0,0.9
NE081,CCHUNB1,1084.0,0.5,2103.0,0.4,1084.0,0.5,2103.0,0.5,1084.0,0.6,2103.0,0.7
NE091,CCHUNB1,1084.0,0.6,2103.0,0.6,1084.0,0.8,2103.0,0.9,1084.0,"0.7 Good for A & B, 0.3 Good for C & D",2103.0,0.3
NE091,CCHUNB1,1084.0,"0.5 Good for A, 0.3 Good for B, C & D",2103.0,"0.5 Good for A & B, 0.2 Good for C & D",1084.0,0.3,2103.0,0.4,1084.0,0.6,2103.0,0.7
NE099,CCHUNB1,1084.0,0.5,2103.0,0.6,1084.0,0.3,2103.0,0.3,1084.0,0.8,2103.0,0.9
NE105,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.6,2103.0,0.6,1084.0,0.9,2103.0,0.9
NE105,CCHUNB1,1084.0,0.3,2103.0,0.3,1084.0,0.4,2103.0,0.4,1084.0,0.8,2103.0,1.0
NE108,CCHUNB3,1084.0,0.3,2103.0,0.3,1084.0,0.4,2103.0,0.4,1084.0,0.4,2103.0,0.4
NE110,CCHUNB1,1084.0,0.5,2103.0,0.4,1084.0,"0.5 Good for A, B & C, 0.2 Good for D",2103.0,"0.4 Good for A, B & C, 0.1 Good for D",1084.0,0.3,2103.0,0.4
NE121,CCHUNB3,1084.0,0.5,2103.0,0.5,1084.0,0.6,2103.0,0.7,1084.0,"0.3, 0.9 (S4)",2103.0,0.9
NE139,CCHUNB3,1084.0,0.5,2103.0,0.5,1084.0,0.5,2103.0,0.5,1084.0,0.3,2103.0,0.3
NE143,CCHUNB1,1084.0,"0.5 Good for A, B & C, 0.3 Good for D",2103.0,"0.5 Good for A & B, 0.3 Good for C & D",1084.0,"0.7 Good for A & B, 0.3 Good for C & D",2103.0,"0.7 Good for A & B, 0.3 Good for C & D",1084.0,0.3,2103.0,0.3
NE158,CCHUNB2,1084.0,"0.5 Good for A & B, 0.2 Good for C & D",2103.0,"0.5 Good for A & B, 0.2 Good for C & D",1084.0,"0.5 Good for A, B & C, 0.2 Good for D",2103.0,"0.5 Good for A, B & C, 0.2 Good for D",1084.0,0.5,2103.0,0.5
NE161,CCHUNB3,1084.0,0.8,2103.0,0.7,1084.0,"0.9 Good for A & B, 0.5 Good for C & D",2103.0,"0.8 Good for A & B, 0.6 Good for C, 0.3 Good for D",1084.0,0.4,2103.0,0.5
NE279,CCHUNB6A,1084.0,"0.6 Good for A, B & C, 0.3 Good for D",2103.0,"0.6 Good for A, B & C, 0.3 Good for D",1084.0,0.6,2103.0,0.7,1084.0,0.4,2103.0,0.4
